,Happiness Index,Country/Region,Cumulative Confirmed Cases,Population,Case per Capita,Density (P/Km²),R Value
176,5.384,Malaysia,2776699,32365999,0.08579061625751147,99,0.89690994270175
148,5.345,Indonesia,4264669,273523615,0.015591593435177435,151,1.1568318784737734
7,5.283,Armenia,345389,2963243,0.11655777133363683,104,0.4167953881004889
192,5.269,Nepal,830480,29136808,0.02850277902781938,203,1.1270750948889718
32,5.266,Bulgaria,770001,6948445,0.11081630494304841,64,1.2407869937693383
177,5.198,Maldives,97050,540544,0.179541350935354,1802,1.2929967724834723
17,5.171,Azerbaijan,619502,10139177,0.061099830883709794,123,0.608411666500281
38,5.142,Cameroon,109367,26545863,0.004119926332777352,56,0.8723340797865302
226,5.132,Senegal,77272,16743927,0.00461492695232128,87,3.31123541371692
1,5.117,Albania,213257,2877797,0.07410425405266598,105,1.3690323281911203
